X_时间（h）,Y_RegionD_SOC（MWh）,Y_RegionE_SOC（MWh）,Y_RegionF_SOC（MWh）
0,315.5905376344,345.8897844983,320.2568817204
1,253.7767741935,206.7849462366,218.1535483871
2,193.3380640574,127.8602150538,133.4768817204
3,193.3380640574,82.0000000000,85.0000000000
4,193.3380640574,82.0000000000,85.0000000000
5,193.3380640574,82.0000000000,85.0000000000
6,193.3380640574,82.0000000000,85.0000000000
7,193.3380640574,82.0000000000,85.0000000000
8,193.3380640574,82.0000000000,85.0000000000
9,193.3380640574,82.0000000000,85.0000000000
10,193.3380640574,82.0000000000,85.0000000000
11,193.3380640574,82.0000000000,85.0000000000
12,193.3380640574,82.0000000000,85.0000000000
13,193.3380640574,82.0000000000,85.0000000000
14,193.3380640574,82.0000000000,85.0000000000
15,193.3380640574,307.6000000000,216.3306526632
16,193.3380640574,346.9061757168,451.3306526632
17,193.3380640574,496.0136757168,611.7071542653
18,257.5723233253,638.1769261084,724.2498758674
19,365.4613869243,680.5192257168,814.4312198674
20,441.6701945233,706.3010757168,814.7512898674
21,463.0322585233,685.5161294802,776.9239784946
22,430.9634408602,597.5322585125,681.8138714229
23,342.3329027671,473.6290322581,572.9211832509
24,235.9255909391,382.4489247312,431.2248387097
25,159.1096769606,254.2177419355,299.4198924731
26,90.0000000000,139.9569892473,173.6935483871
27,90.0000000000,82.0000000000,85.0000000000
28,90.0000000000,82.0000000000,85.0000000000
29,90.0000000000,82.0000000000,85.0000000000
30,90.0000000000,82.0000000000,85.0000000000
31,90.0000000000,82.0000000000,85.0000000000
32,90.0000000000,82.0000000000,85.0000000000
33,90.0000000000,82.0000000000,85.0000000000
34,90.0000000000,82.0000000000,85.0000000000
35,90.0000000000,82.0000000000,85.0000000000
36,90.0000000000,82.0000000000,85.0000000000
37,90.0000000000,82.0000000000,85.0000000000
38,90.0000000000,82.0000000000,85.0000000000
39,90.0000000000,82.0000000000,124.0491005770
40,90.0000000000,298.0230977035,359.0491005770
41,150.8024762720,523.6230977035,539.2307449749
42,324.1444918710,650.5935977035,672.1277565770
43,441.1056838710,734.8246473118,753.9883145770
44,498.1354838710,741.4892473118,797.6910761791
45,488.6722585233,681.1075268817,736.3209691074
46,436.4124731183,561.3897853942,635.5709686522
47,354.1544086022,452.4193548387,551.5730116630
48,263.9604305663,298.4838709677,374.8355918530
49,182.1896774194,190.5752692652,243.2627966092
50,102.7436563727,122.7526881720,141.7620439211
51,90.0000000000,82.6451612903,86.8668821756
52,90.0000000000,82.0000000000,85.0000000000
53,90.0000000000,82.0000000000,85.0000000000
54,90.0000000000,82.0000000000,85.0000000000
55,90.0000000000,82.0000000000,85.0000000000
56,90.0000000000,82.0000000000,85.0000000000
57,90.0000000000,82.0000000000,85.0000000000
58,90.0000000000,82.0000000000,85.0000000000
59,90.0000000000,82.0000000000,85.0000000000
60,90.0000000000,82.0000000000,85.0000000000
61,90.0000000000,82.0000000000,85.0000000000
62,90.0000000000,82.0000000000,85.0000000000
63,90.0000000000,86.2904104840,116.8275403332
64,90.0000000000,311.8904104840,338.6748727311
65,292.4756235990,508.8204104840,552.1515987311
66,387.0247550975,653.5569104840,682.7923291290
67,491.5809554986,715.7802104840,756.2604735269
68,509.1337638996,727.4973104840,779.0001075269
69,480.5668817204,676.5510743728,725.6733337885
70,434.5281720430,608.9704292116,654.8297849462
71,339.9105371757,476.2365586918,550.9761290323
72,240.6602145950,355.5672038531,391.8411832509
73,142.7449462366,210.7096769714,259.2168817204
74,90.0000000000,128.1693543907,135.7574188997
75,90.0000000000,82.0000000000,85.0000000000
76,90.0000000000,82.0000000000,85.0000000000
77,90.0000000000,82.0000000000,85.0000000000
78,90.0000000000,82.0000000000,85.0000000000
79,90.0000000000,82.0000000000,85.0000000000
80,90.0000000000,82.0000000000,85.0000000000
81,90.0000000000,82.0000000000,85.0000000000
82,90.0000000000,82.0000000000,85.0000000000
83,90.0000000000,82.0000000000,85.0000000000
84,90.0000000000,82.0000000000,85.0000000000
85,90.0000000000,82.0000000000,85.0000000000
86,90.0000000000,82.0000000000,85.0000000000
87,90.0000000000,97.6313355502,136.1038969500
88,90.0000000000,323.2313355502,371.1038969500
89,317.2902195852,493.8883351586,590.7883825521
90,317.2902195852,614.3493351586,724.8433805521
91,429.0896835852,696.1011351586,807.8022349500
92,457.3148759862,715.1854847669,839.0178485521
93,465.9350523872,661.5645165770,774.5341930932
94,412.7944072259,586.8333337813,701.5056984696
95,333.9909663657,491.2903230286,548.6000000000
96,263.0658055341,380.5268821684,404.7460215054
97,182.6438705090,256.7715053763,268.6804301075
98,104.8219350251,130.5887096774,157.0333333333
99,90.0000000000,82.0000000000,85.0000000000
100,90.0000000000,82.0000000000,85.0000000000
101,90.0000000000,82.0000000000,85.0000000000
102,90.0000000000,82.0000000000,85.0000000000
103,90.0000000000,82.0000000000,85.0000000000
104,90.0000000000,82.0000000000,85.0000000000
105,90.0000000000,82.0000000000,85.0000000000
106,90.0000000000,82.0000000000,85.0000000000
107,90.0000000000,82.0000000000,85.0000000000
108,90.0000000000,82.0000000000,85.0000000000
109,90.0000000000,82.0000000000,85.0000000000
110,90.0000000000,82.0000000000,85.0000000000
111,90.0000000000,202.1781491603,157.6630231899
112,90.0000000000,202.1781491603,392.6630231899
113,150.0469930324,425.0274741603,574.3727311899
114,301.1418410324,571.1387237686,678.2723415878
115,416.3704250324,620.7190241603,727.1601435878
116,461.8976330324,627.9946245519,756.5731191899
117,445.6903216632,581.7392482078,714.6080658816
118,378.1393543800,458.4059144265,644.7477437561
119,316.7191393262,357.8225810931,517.0918297776
120,220.4554834122,236.3064516129,400.1673136486
121,112.6718279570,128.1424726703,270.1512916880
122,90.0000000000,91.3279569892,178.4418288673
123,90.0000000000,82.0000000000,100.6730112078
124,90.0000000000,82.0000000000,85.0000000000
125,90.0000000000,82.0000000000,85.0000000000
126,90.0000000000,82.0000000000,85.0000000000
127,90.0000000000,82.0000000000,85.0000000000
128,90.0000000000,82.0000000000,85.0000000000
129,90.0000000000,82.0000000000,85.0000000000
130,90.0000000000,82.0000000000,85.0000000000
131,90.0000000000,82.0000000000,85.0000000000
132,90.0000000000,82.0000000000,85.0000000000
133,90.0000000000,82.0000000000,85.0000000000
134,90.0000000000,82.0000000000,85.0000000000
135,90.0000000000,82.0000000000,176.7710622043
136,90.0000000000,256.2434965055,411.7710622043
137,138.1102283015,442.0932465055,586.3537838065
138,322.6781003015,543.1784965055,725.2556098065
139,410.4135643015,603.0870465055,791.3341314086
140,473.9406447026,603.8413965055,816.1032258065
141,445.0847302653,588.6747302868,745.7202145986
142,414.2270963155,522.5053758961,642.0205376344
143,299.7212898638,405.3897840503,518.9120434659
144,240.2197840288,281.9247302868,384.0163445412
145,137.2120425520,184.3252683692,279.5368817204
146,90.0000000000,101.5430103047,162.6595698925
147,90.0000000000,82.0000000000,85.0000000000
148,90.0000000000,82.0000000000,85.0000000000
149,90.0000000000,82.0000000000,85.0000000000
150,90.0000000000,82.0000000000,85.0000000000
151,90.0000000000,82.0000000000,85.0000000000
152,90.0000000000,82.0000000000,85.0000000000
153,90.0000000000,82.0000000000,85.0000000000
154,90.0000000000,82.0000000000,85.0000000000
155,90.0000000000,82.0000000000,85.0000000000
156,90.0000000000,82.0000000000,85.0000000000
157,90.0000000000,82.0000000000,85.0000000000
158,90.0000000000,82.0000000000,85.0000000000
159,90.0000000000,169.3672923502,202.7626243979
160,90.0000000000,169.3672923502,437.7626243979
161,211.3046714260,353.6542927418,627.0768387958
162,399.8791998271,500.6937927418,769.3451803979
163,495.6159434260,587.6155927418,850.0000000000
164,532.6004310250,583.9758077956,829.3223660465
165,502.6984950824,559.3602163977,772.1309686522
166,411.3092477706,485.9865604837,690.0895708028
167,314.1178499211,415.4569905913,582.3303234909
168,233.9298929319,311.5618288530,461.0083861865
169,180.0025811039,209.8225810931,313.1304296524
170,90.0000000000,127.4569896953,167.6166662115
171,90.0000000000,91.0994623656,85.0000000000
172,90.0000000000,82.0000000000,85.0000000000
173,90.0000000000,82.0000000000,85.0000000000
174,90.0000000000,82.0000000000,85.0000000000
175,90.0000000000,82.0000000000,85.0000000000
176,90.0000000000,82.0000000000,85.0000000000
177,90.0000000000,82.0000000000,85.0000000000
178,90.0000000000,82.0000000000,85.0000000000
179,90.0000000000,82.0000000000,85.0000000000
180,90.0000000000,82.0000000000,85.0000000000
181,90.0000000000,82.0000000000,85.0000000000
182,90.0000000000,82.0000000000,85.0000000000
183,90.0000000000,148.9273160960,158.1542234244
184,90.0000000000,374.5273160960,391.3522058244
185,194.1557097631,549.8255664876,591.1241078244
186,356.6448613621,661.6150664876,717.3119634265
187,481.1621493621,728.9731164876,780.5731178244
188,509.3271813621,722.5510739249,767.0784946237
189,512.5931173621,653.1908593191,745.8294623656
190,481.1574188961,551.5645152331,659.5137638960
191,372.7763431686,425.6182791219,542.1680645161
192,237.1492463944,313.2553758961,367.7521500825
193,145.1797844875,199.7150533155,226.8387096774
194,103.8034408602,100.7634408602,130.4179569892
195,90.0000000000,82.0000000000,85.0000000000
196,90.0000000000,82.0000000000,85.0000000000
197,90.0000000000,82.0000000000,85.0000000000
198,90.0000000000,82.0000000000,85.0000000000
199,90.0000000000,82.0000000000,85.0000000000
200,90.0000000000,82.0000000000,85.0000000000
201,90.0000000000,82.0000000000,85.0000000000
202,90.0000000000,82.0000000000,85.0000000000
203,90.0000000000,82.0000000000,85.0000000000
204,90.0000000000,82.0000000000,85.0000000000
205,90.0000000000,82.0000000000,85.0000000000
206,90.0000000000,82.0000000000,85.0000000000
207,90.0000000000,124.0430135305,107.9911702690
208,98.7508521001,349.6430135305,342.9911702690
209,303.8374201001,547.6187635305,532.9977886668
210,432.6490041001,696.8672631389,677.2955902690
211,534.8228685012,755.5185635305,735.5905362690
212,603.3432281001,776.9059135305,706.5691384195
213,548.6946254909,734.7768812724,700.0548373442
214,464.4073132042,654.5080636202,599.4140846561
215,381.1858078278,514.0188163083,462.1717190647
216,280.9995708099,381.2526872761,337.6818270467
217,175.5281729605,247.8870963262,233.5027952438
218,119.4524735770,128.4919350359,142.3122580645
219,90.0000000000,82.0000000000,85.0000000000
220,90.0000000000,82.0000000000,85.0000000000
221,90.0000000000,82.0000000000,85.0000000000
222,90.0000000000,82.0000000000,85.0000000000
223,90.0000000000,82.0000000000,85.0000000000
224,90.0000000000,82.0000000000,85.0000000000
225,90.0000000000,82.0000000000,85.0000000000
226,90.0000000000,82.0000000000,85.0000000000
227,90.0000000000,82.0000000000,85.0000000000
228,90.0000000000,82.0000000000,85.0000000000
229,90.0000000000,82.0000000000,85.0000000000
230,90.0000000000,82.0000000000,85.0000000000
231,90.0000000000,82.0000000000,102.6450282833
232,130.7661602862,239.4752196801,337.6450282833
233,130.7661602862,462.1024696801,540.4014298854
234,267.7715358852,575.7132200718,682.7294614875
235,351.6447282862,626.5507700718,763.9811818854
236,410.6838718852,672.4838700718,756.4268808101
237,401.1655923153,625.9731178316,691.4379560789
238,370.3767751110,578.8763436380,622.8339775843
239,306.9058069103,458.6559139785,510.1995694373
240,235.5264520716,339.9489251792,354.8609677419
241,137.5974198136,224.1639789426,214.4664511578
242,90.0000000000,125.2930107527,123.9313973943
243,90.0000000000,82.0000000000,85.0000000000
244,90.0000000000,82.0000000000,85.0000000000
245,90.0000000000,82.0000000000,85.0000000000
246,90.0000000000,82.0000000000,85.0000000000
247,90.0000000000,82.0000000000,85.0000000000
248,90.0000000000,82.0000000000,85.0000000000
249,90.0000000000,82.0000000000,85.0000000000
250,90.0000000000,82.0000000000,85.0000000000
251,90.0000000000,82.0000000000,85.0000000000
252,90.0000000000,82.0000000000,85.0000000000
253,90.0000000000,82.0000000000,85.0000000000
254,90.0000000000,82.0000000000,85.0000000000
255,90.0000000000,82.0000000000,218.4782486021
256,90.0000000000,305.2979988351,450.3475320000
257,232.3936801719,490.1842488351,634.4329023979
258,376.9792161719,606.9439988351,780.4139623979
259,477.8776877709,706.9435488351,847.9727963979
260,526.2203841719,689.6747320788,850.0000000000
261,529.8111841719,663.3655918458,784.4784946237
262,470.9724740358,577.4516129032,670.2774198100
263,379.7131191970,452.9973118280,550.7331182796
264,244.9393552974,323.9005371864,409.0913978495
265,174.9501079856,226.9059139785,246.5196778745
266,131.0137634409,141.8924731183,141.4274198100
267,90.0000000000,82.0000000000,85.0000000000
268,90.0000000000,82.0000000000,85.0000000000
269,90.0000000000,82.0000000000,85.0000000000
270,90.0000000000,82.0000000000,85.0000000000
271,90.0000000000,82.0000000000,85.0000000000
272,90.0000000000,82.0000000000,85.0000000000
273,90.0000000000,82.0000000000,85.0000000000
274,90.0000000000,82.0000000000,85.0000000000
275,90.0000000000,82.0000000000,85.0000000000
276,90.0000000000,82.0000000000,85.0000000000
277,90.0000000000,82.0000000000,85.0000000000
278,90.0000000000,82.0000000000,85.0000000000
279,90.0000000000,82.0000000000,141.3354768170
280,213.7221458928,292.3830246748,376.3354768170
281,213.7221458928,481.0292746748,557.5557272149
282,395.2579542938,577.5085242832,735.0292312149
283,467.9173226948,637.4053246748,803.1013992149
